start	end	text
0	2700	There are some scientists who say that the universe
2700	6600	that we inhabit is not the only universe there is.
6600	8640	There are alternate universes.
8640	10640	They say that these universes arise
10640	13720	from the subatomic realm of quantum physics.
13720	15240	Here's how they say it works.
15240	17680	Every time a quantum event happens,
17680	21560	it produces all of its possible results.
21560	23480	This is like saying if you flip a coin,
23480	27160	it comes up heads, but it also comes up tails.
27160	29840	Since those two results are mutually exclusive,
29840	32600	the flipping of the coin splits the universe
32600	36120	into two alternate universes, the heads universe
36120	37800	and the tails universe.
37800	40760	And since quantum events are happening all the time,
40760	42400	it means that alternate universes
42400	43840	are bubbling up continually.
43840	46280	They're always being created, splitting off from ours.
46280	48800	And these alternate universes are real.
48800	50880	They're not just figments of the imagination.
50880	53840	They're complete, whole, real things.
53840	57080	I know this is true because I experienced
57080	58460	an alternate universe.
60360	63400	I was driving in my Volkswagen van
63400	66080	up to a Tai Chi camp in upstate New York
66080	67320	a couple of summers ago.
69440	72560	I bought the Volkswagen van when I'd quit my job
72560	74100	a few years previously.
74100	76000	I bought the van because I quit the job
76000	78920	as a custom database application engineer.
79960	83000	This was not a job that I really had intended to become.
83000	84580	When I was a kid, that's not what I thought
84580	85820	I was going to be.
86720	88520	It's just sort of the job I happened into
88520	91060	and I always thought of it as the work I was doing
91060	94180	before I was going to find my real work.
94180	96360	But when I got close to about 40,
96360	99800	I suddenly thought, oh my God, this could be it.
99800	101160	This could be what I end up doing.
101160	102960	This could be on my tombstone.
102960	107640	Tom Weiser, custom database application engineer,
107640	109560	wrote well-optimized queries.
111280	113580	Many customers satisfied.
113580	115120	And I thought, no, that can't be it.
115120	116320	That can't be all there is.
116320	119160	And I quit the job without really knowing
119160	120440	what I was going to do next.
120440	124320	And I knew that what I should do was to take my skill set
124320	127480	and to make a lateral move to a career path
127480	129080	that was more appropriate.
129080	131340	But I really didn't want to do that.
131340	132520	I didn't want to be so logical.
132520	135680	I actually wanted something more magic.
135680	138360	I wanted to be like the guy in the fairy tale
138360	142120	that trades the cow for the magic beans.
142120	144880	And I know that that's a bad deal.
144880	149000	I know that the cow's a better investment.
149000	150800	The cow's going to pay off in the long term.
150800	154520	But if the magic beans work out,
154520	156280	you're in a whole new story.
158800	160600	So I quit the job and I bought
160600	163560	a Volkswagen pop-top camper van.
163560	166240	And I drove around country and what I thought is, okay,
166240	168140	I'm not going to make a lateral move.
168140	170160	I am going to drive around the country
170160	172840	and I'm going to open myself up to whatever may come.
172840	176240	And then what I'm going to do is going to arise organically.
176240	178080	I'm going to find my next path there
178080	179520	by the side of the road in Arizona.
179520	181920	I'm going to pick it up and bring it back to New York.
181920	186360	So I drove around the country, 25,000 miles, eight months.
186360	189640	And when I got back to New York, I had no clue.
191080	194440	I really didn't know and it left me very vulnerable
194440	196800	to the New York question.
196800	198640	The first question anybody asked, which is,
198640	200180	so, what do you do?
200180	203180	I didn't know.
