start	end	text
0	15520	Tom Waits loved the novel J.T. Leroy had written called Sarah. He wanted to do an
15520	26920	interview with J.T. Leroy for Vanity Fair magazine and he wanted J.T.'s input on who
26960	37440	would photograph the spread because J.T. Leroy was notoriously shy. One of the reasons why
37440	49800	J.T. was so shy was because J.T. didn't have a body. J.T. was an avatar. So let me take you
49800	60000	back some years. I was 16, 17 years old and I was awarded the state in a group home in
60000	74200	New York City. Eight girls, one bathroom. And the girls had all had stories being some had
74200	83240	been raped, stabbed by a parent, sold into slavery. Everyone had secrets. At night time,
83240	91240	we'd tell our secrets and you couldn't tell. And I was the one they would come to and tell
91240	98560	their stories. And if you asked me why I was there, I don't know. All the intakes,
98640	110520	dysfunctional family, I dropped out of school, I don't know. But I was always interested in
110520	117040	how do you tell? And there was this movie, Streetwise, it was a documentary by Mariel and Mark
117040	126360	about homeless kids in Seattle. And I gathered up some of my friends, my best friend Lauren from
126360	133640	the group home. We'd been institutionalized together prior to the group home. And we went
133640	145760	and saw this movie. And we saw ourselves on the screen. Now the street can seduce you. And these
145760	156040	kids were getting swallowed. And we knew we were just one step removed. And when we left the movie,
156040	162120	I saw how people looked at us right before they were kind of scared of us. And I got off on that,
162120	169160	you know, because we'd street all over us. But after the movie, they looked at us with this kind
169160	178960	of curious compassion. And suddenly, I didn't want to be the victim in the movie. I was interested
178960	184840	in how do you make that bridge so people suddenly care and curious enough to maybe
185080	195920	care? How do you do that? And in the group home, everyone's telling their stories. And I don't even
195920	203360	know how to tell mine. I don't even have the tools to tell mine. And I would go to buy a little relief
203360	211040	to a street corner. There's a phone booth right on the corner. And I would remove it from me. I'd be
211040	218240	a boy. And I'd call hotlines. And I'd tell them all the stories, my story, my pain, everyone's
218240	224160	stories, the houseparent who survived the Biafran Wars, and say to me, Laura, your job is to tell
224160	230840	our stories. Because in the group home, my job was I was the translator. So some girls having some
230840	236000	problems with the houseparent, they'd come to me and I would translate between what each other was
236000	247120	saying. Again, if you asked me, I don't know. All I knew is if you heard what my story was,
247120	256880	my deepest belief was that you would say, well, you deserve it. You're disgusting. You're horrible.
257760	267120	My deepest hope was that you wouldn't. But I never ever gave you the chance. But I wanted to learn the
267120	275400	tools to tell because that's the bridge. And I won a scholarship to the New School for Social Research.
275400	281000	And they let me in without the SATs. I said, I can't take the SATs. My last grade of completion is
281000	292320	six. And they let me in with an essay. I'm taking every writing class I can get my hands on. And I
292320	299840	wrote this piece in this class about, you can tell a kid that's not going to survive long on the street
299840	306840	because the scars run this way. And the kids are there wrapped in wrapped, you know. And everyone's
306920	315080	looking to see whose exterior matches the story. And everyone's looking at this one cool guy. He's
315080	322200	all raggedy. And I'm in the group home. And I'm just looking. I'm looking at him too. And I want it to be
322200	327880	him because he matches the voice. And I don't want them to know it's me because it's going to ruin it.
329400	335000	I want it to be him. And then when they leave, because they don't know it was anonymous reading
335000	341640	the story. And then when we leave, I hear people talking about, wow, I never thought of it that way.
