start	end	text
0	14260	So, I'm not depressed now, but I was depressed for a long time and I wrote about being depressed
14260	23460	and I lived for a long time with blinding depression and had long stretches when everything
23460	29520	seemed hopeless and pointless, when returning calls from friends seemed like more than I
29520	36200	could do, when getting up and going out into the world seemed painful, when I was completely
36200	42720	crippled with anxiety and when I finally got better and started writing about the process
42720	47760	of recovery, I became very interested in all of the different kinds of treatment that there
47760	53060	were for depression and having started as a kind of medical conservative thinking that
53060	57240	there were only a couple of things that worked, medication and certain talking therapies
57240	62160	and that that was really it, I very gradually began to change my mind because I realized
62160	67480	that if you have brain cancer and you decide that standing on your head and gargling for
67480	71960	half an hour every day makes you feel better, it may make you feel better, but the likelihood
71960	76360	is that you still have brain cancer and you're still going to die from it.
76360	80200	But if you have depression and you say that standing on your head and gargling for half
80200	87320	an hour makes you feel better, then you are actually cured because depression is an illness
87320	91960	of how you feel and if you feel really great after you do that, then you're not depressed
91960	92960	anymore.
92960	98200	So I began to think all kinds of things could work and I researched everything ranging from
98200	105640	experimental brain surgeries to hypnotic regimens of various kinds, I had people writing to
105640	109840	me because I had been publishing on this subject, there was one woman who wrote to me and she
109840	115160	said that she had tried actually electroshock treatments and a variety of other approaches
115160	120720	to depression, medication and therapy and she had finally found the thing that worked
120720	125520	for her and she wanted me to tell the world about it and that was making little things
125520	137000	from yarn, some of which she sent me and none of which I'm wearing right now, but in any
137080	143680	event I had that rich engagement and I also became interested as I was doing this work
143680	149360	in the idea that depression existed not only in the civilized west as people tended to
149360	157200	perceive it to exist but actually across cultures and had existed across time and so when one
157200	162240	of my dearest friends, my friend David Hecht who was living for a little while in Senegal
162440	167880	said to me, do you know about the tribal rituals that are used for the treatment of depression
167880	168880	here?
168880	173480	I said no, I don't know about them but I would like to know about them and he said well if
173480	178560	you come for a visit we could try to do some research on this topic and so I set off for
178560	187680	Senegal and I met David and I was introduced to David's then girlfriend, now ex-wife Ellen
188240	195240	and it turned out that Ellen had a cousin whose mother was a friend of someone who went
195240	201040	to school with the daughter of a person who actually practiced the ndop and that I could
201040	206880	therefore go and interview this woman who had practiced the ndop and so we went off
206880	215160	to a small town about two hours outside of Dakar and I was introduced to this extraordinary
215520	223920	old large woman wrapped in miles and miles of African fabric printed with figures of
223920	229120	eyes and she was Madame D'Youff and we did an interview for about an hour and she told
229120	235040	me all about the ndop and at the end of it feeling rather daring I said, listen I said
235040	239920	I hope, I don't know whether this is something you would even consider I said but would it
239920	247480	be possible for me to attend an ndop and she said well I've certainly never had a foreigner the
247480	253640	local word was to Bob I've never had a foreigner attend one of these before she said but actually
253640	258640	she said I mean you've come through these friends and these connections she said yes the next time
258640	264280	I perform an ndop you may be present and I said that's fantastic I said when are you next going
264280	271920	to be doing an ndop and she said oh it'll be sometime in the next six months and I said six
271920	278480	months is quite a long time for me to stay here in this town waiting for you to do one I said is
278480	285480	there anyone who might maybe we could expedite one for somebody move it forward I'll pitch in
285480	293080	she said no it really doesn't work that way she said I'm sorry but that's that's how it is and
293560	298360	I said well I guess I won't be able to see an ndop then but even so this conversation has been
298360	306040	so interesting and so helpful to me and and I I'm a little sad leaving here about not actually
306040	311120	getting to see one but but I thank you and she's well I'm glad that you could come I'm glad it was
311120	317240	helpful and she said but there is one other thing she said I I hope you don't mind my saying this
317240	325480	and I said no what what is it and she said you don't look that great yourself she said are you
325480	332240	you are suffering from depression and I said well yes I said I was very acute it's kind of a little
332240	337960	better now but yeah I still do actually suffer from depression she said well I've certainly
337960	347680	never done this for a tuba before but I could actually do an ndop for you and I said oh I said
347680	355960	what an what an interesting idea I said well um yes sure yeah absolutely yes let's let's let's do
355960	362080	that I said that I'll have an ndop and she said oh well that's great she said and she gave us some
362960	370360	sort of fairly basic instructions and then we left and my translator the aforementioned then
370360	376600	girlfriend now ex-wife of my friend turned to me and she said are you completely crazy do you have
376600	382480	any idea what you're getting yourself into and I said well you know I'm all these things very
382480	387480	interesting she said you're crazy she said you're totally crazy but I'll help you if you want so we
387480	392120	had left and the first thing we had was a shopping list there had been a she had you could get them
392120	396720	to buy the stuff but you had to pay a surcharge I'd said no we'd buy the stuff so we had to go
396720	406240	out we had to buy seven yards of African fabric we had to get a calabash which was a large bowl
406240	413880	fashioned from a gourd we had to get three kilos of millet we had to get sugar we had to get cola
414040	422920	beans and then we had to get two live cockerels two roosters and a ram and so Ellen and I went
422920	427640	to the market with David and with these other people and we got most of the things and I said
427640	434000	well but what what about the the ram and Ellen said we can't buy the ram today what are we gonna
434000	443840	do with it overnight so I saw the sense of that so the next day the next day we got into a taxi
443840	450000	to go back out two hours to where we were going and I said what about the ram and Ellen said oh
450000	456120	we'll see a ram along the way so we were going along and going along and there was a Senegalese
456120	461880	shepherd by the side of the road with his flock and we stopped the cab and we got out and we
461880	468960	bought the ram for seven dollars and then we had a little bit of a struggle getting the live ram
468960	477280	into the trunk of the taxi cab so but the cab driver seemed not at all worried even by the fact
477280	484280	that the ram kept relieving himself in the trunk of the taxi cab and so then we got to Rufi's can
484280	491200	we got there so here I am I'm ready for my close-up and the thing about the end up is that it varies
491200	497200	enormously depending on a whole variety of signals and symbols that come from above so we have to go
497200	502960	through this whole shamanistic process and I still didn't know really very much of what was gonna
502960	509200	happen so first I had to change out of my jeans my t-shirt and put on a loincloth and then I sat
509200	517520	down and then I had my chest and my arms rubbed with millet and then which is a grain and then
517520	522640	someone said oh we really should have music for this and I said oh great and I thought you know
522640	527720	drumming I thought some atmospheric thing and she came out with her very prized possession which
527720	535880	was a battery-operated tape player for which she had one tape which was chariots of fire so we
535880	542920	started listening to chariots of fire and in the meanwhile I was given sort of various shamanistic
542920	547320	objects I had to hold them with my hands and drop them I had to hold them with my feet and drop them
547320	551920	I they would sort of say oh this augurs well this augurs badly there were five assistants to Madame
551920	555960	Diouf who had all gathered around and we sort of spent the morning like this and it was all really
555960	563680	just fine and then they said it was maybe we'd started at about 8 maybe about 11 11 30 they said
563680	569880	well now it's actually time for the the central part of the ritual and I said oh okay and the
569880	574200	sound of drumming began the drumming I'd been hoping for the drumming began and so there was
574200	580720	all of this drumming and it was very exciting and we went to the central square of the village
580760	590040	where there was a small makeshift wedding bed that I had to get into with the ram and I had been told
590040	595360	it would be very very bad luck if the ram escaped and that I had to hold on to him and that the
595360	600400	reason we had to be in this wedding bed was that all my depression and all my problems were caused
600400	605400	by the fact that I had spirits in Senegal you have spirits that have all over you the way here you
605400	610200	sort of have microbes some are good for you some are bad for you some are neutral anyway my bad
610200	616840	spirits were extremely jealous of my real-life sexual partners some of whom are here tonight and
616840	626480	and that we had to mollify the anger of the of the spirit so I had to get into this wedding
626480	631600	bed with the ram and I had to hold the ram very tightly because he he was not having a good life
631600	638800	this ram and he of course immediately relieved himself on my leg and the entire village had
