start	end	text
0	5760	I grew up in Providence, Rhode Island, and for my entire childhood, we were never more
5760	12800	than 20 miles away from the core of our universe, the Kennedys.
12800	14800	We were Irish, they were Irish.
14800	16840	We were Catholic, they were Catholic.
16840	18680	They were family.
18680	22360	We were like the relatives that they never got to see.
22360	27360	But we knew, you know, they're busy, and we knew that they loved us.
27360	30980	So anything that was happening to them was also happening to us.
30980	36760	So their tragedy, plus our own tragedy, was a lot.
36760	41360	So this one Thanksgiving after dinner and a family fight at Grandma's house, we were
41360	42800	in the car and we're driving home.
42800	47600	And the radio was playing this 10th anniversary of the JFK assassination.
47600	50820	And I'm sitting in the back seat, and I start to cry.
50820	54800	And my sister Erin says, hey, Dad, Michaela's crying.
54800	58220	And my father pulls that car right over to the shoulder of I-95.
58220	61240	He stops it, he turns around, and he looks at us.
61240	72000	And with tears in his own eyes, he says, don't you ever be ashamed to cry for that man.
72000	77320	So my parents grew up near Newport, and they got married in the same exact church as Jack
77320	79380	and Jackie, St. Mary's.
79420	86380	And my father gave exact replica jewelry to my mother that was replications of the jewelry
86380	88700	that Jack gave to Jackie.
88700	92920	And every Saturday night after mass, my family would be in the living room and we'd be happily
92920	98440	ever aftering to the original soundtrack of Camelot.
98440	103700	And every year during the 70s, my four aunts would take me and my two cousins on their
103700	111620	dream vacation, a rented beach house in Hyannis on the very cove sharing beachfront with the
111620	114280	Kennedy compound.
114280	118700	Every day for an entire week, my Aunt Pat would roll up her sister's hair.
118700	123500	My aunts would apply sunscreen to the back of their necks, the backs of the hands, and
123500	125100	the tops of their feet.
125100	128920	And then they would drag their beach chairs down to the beach, and they would set them
128920	138200	up perfectly, not facing the water, not into the sun for tanning, but perfectly for spying
138200	140440	on the Kennedys.
140440	145000	They would sit there all day in the broiling sun with high-powered binoculars and keep
145000	147480	a constant surveillance.
147480	151000	And every year they'd have the same exact conversations.
151000	155320	Usually around mid-morning, the first sighting would be made, usually by my Aunt Pat.
155320	168280	She'd be, up, they got Rose out, walking, Ethel looks drawn.
168280	172020	And then about an hour later, my Aunt Gert would say, how old is Rose now?
172020	173880	And Aunt Momo would make the calculations.
173880	175200	Well, let's see.
175200	181640	Jack died in 63 when she was 74, and Rose's birthday was two weeks last Thursday, and
181800	187040	Joe died in 69, making her a widow at 81, so 85.
187040	190880	And then they'd break for lunch.
190880	196480	So after lobster and drawn butter and hosing us down, they'd all hustle back to their posts,
196480	197480	and they'd watch.
197480	199520	And every now and then, there'd be something they didn't know.
199520	200520	Hey, who's that?
200520	201520	Who's that?
201520	202520	Who's that?
202520	205600	So they'd draw out the family tree in the sand, they'd analyze it, they'd come up with
205600	207800	a profile, and they'd crack the code.
207800	210840	It's one of Bobby's.
