start	end	text
0	2520	My story is about a number of jobs
2520	5600	that sort of shaped my life and shaped my whole destiny.
5600	7680	And it was a couple of jobs I had
7680	10240	during the ages of 20 to 21.
10240	14200	So the story begins in, yes, I was employed back then.
14200	16800	Okay, I don't know why you laughed, but I'll accept that.
16800	17640	It's a good sign.
17640	18900	Okay, I'm thinking out loud here.
18900	22660	All right, so in 1984, I was a sophomore at Princeton.
22660	24000	You can laugh at that if you like.
24000	26640	All right, so in 1984, I was a sophomore at Princeton.
26640	27800	I wanted to take a year off
27800	30120	because I had a very bad reputation at school.
30120	32400	I was drinking a lot, getting in a lot of trouble,
32400	33760	so I wanted to take a year off.
33760	36360	Also, I had joined the Army to pay for Princeton,
36360	39240	and I was looking at four years of active duty after school
39240	40960	and eight years of reserve duty.
40960	43120	So this was my last chance at freedom,
43120	45880	was after, you know, taking this year off from school.
45880	47600	Later, just for the Harpers crowd,
47600	49600	I did become a conscientious objector,
49600	51320	and so I got out of the military.
51320	54160	And so, and avoided the Gulf War
54160	56840	unlike my fellow ROTC guys, which is a good thing.
56840	58560	All right, so, but this was before I knew
58560	59540	I was getting out of the Army.
59540	61760	This was gonna be my year of freedom.
61760	63720	I needed to make money, though, during this year off,
63720	66120	and a friend of mine, I know it's going to seem absurd,
66120	67900	suggested that I be a model,
67900	69280	and he took some pictures of me.
69280	70840	I know I have rings under my eyes
70840	72800	that go all the way to the back of my skull,
72800	74660	and I have no hair, but at 20,
74660	76780	he had it in his mind that I should be a model.
76780	78280	So he takes some pictures of me,
78280	82020	and I thought I was ugly, but I was vain enough to try it.
82020	83520	I don't know what I was thinking.
83520	86500	So I go, I look up in the Princeton Library,
86500	88820	they had a Manhattan phone book, and I look up modeling,
88820	90460	and I choose a modeling agency,
90460	92340	and I go into New York with these pictures.
92340	93580	This fellow takes them, he says,
93580	94700	can I hold these overnight?
94700	97500	I said yes, and the next morning he calls me,
97500	99940	come into New York, we want to sign you to a contract.
99940	103140	He had sent my pictures to the photographer Bruce Weber,
103140	105700	who does the Abercrombie and Fritch and Vanity Fair,
105700	107520	however you say Abercrombie, whatever,
107520	110460	and that this fellow wanted to photograph me.
110460	112020	So suddenly, with this small agency,
112020	113380	which existed for about a year,
113380	114300	and then there was a scandal
114300	116380	with young female models from Minnesota,
117220	119260	so suddenly I'm a model,
119260	122980	and I'm going off to this Bruce Weber photo shoot,
122980	124520	and I remember we met early in the morning,
124520	126940	a bunch of us, a bunch of male models in a van,
126940	130100	and as we're going off to the Hamptons for this photo shoot,
130100	131700	it was like six a.m., this one guy looks around,
131700	134020	he's from Texas, he goes, hey, we're all blonde.
134020	135420	You know, it just had dawned on him,
135420	137680	sort of, it was kind of interesting.
137680	139220	And so we get out to the Hamptons,
139220	140420	and we're at this farmhouse,
140420	142420	and it was like a scene out of Christopher Isherwood's
142420	144220	The Berlin Stories, all these blonde boys,
144220	146420	about 10 of us, running around doing pushups
146420	147980	so that our muscles would swell,
147980	150100	and in and out of the pool, and a big buffet,
150100	152640	and everything, waiting for the light to change.
152640	155260	And so I get my picture taken by Bruce Weber,
155260	157480	wonderful guy, very talented, obviously,
157480	160000	and he wanted me to drop my shorts,
160000	162380	and I felt embarrassed, I didn't think I could do that,
162380	164360	and so I, anyways, I hid everything,
164360	166260	I wasn't able to expose myself.
166260	167980	So anyways, he took these pictures of me,
167980	171120	and I have one, and I'm going to pass it out
171120	172520	as a sort of gift for you.
172900	177900	I only have 150 of them, so if you're one per table.
180840	183100	But this is the Bruce Weber picture of me.
184680	189680	And I was, anyway, the physique was looking good then,
190200	191200	and you can see I had hair,
191200	192720	it's sort of depressing to look at that now,
192720	194760	I don't know what happened, but anyway,
194760	196800	so I ended up in the Whitney Biennial,
196800	198340	I like to say to my artist friends,
198340	200840	I've been in the biennial, but it was in this picture.
200840	204720	And on the back of this is the thing from my nursery school,
204720	206400	just so you can study that if you like,
206400	209180	so pass those around.
210680	213560	So maybe one per table, since it's only 150,
213560	215080	but so it could get to the back.
215080	217040	All right, so here I am a model,
217040	220400	I got several jobs, but at that photo shoot
220400	222960	at Bruce Weber's farmhouse, I met a very pretty girl,
222960	225580	she was his assistant, and she gave me her phone number.
225580	228840	So about a week later, I'm doing my modeling appointments,
228840	230480	which are called go-sees,
230480	232400	which was made very simple for the models,
232400	234200	it was go-see someone,
234200	237340	and so this is what they called appointments, were go-sees.
237340	239220	So I'm on a day of go-sees,
239220	241640	and I found myself in the West Village,
241640	243600	and right by Cornelia Street,
243600	246440	and I remember that that girl lived on Cornelia Street,
246440	249160	and my high school love was a girl named Cornelia,
249160	251440	and so suddenly it was all fusing in my mind,
251440	255120	so I call her, and I get her roommate,
255120	257140	and I explain that I'm in the neighborhood,
257900	259500	I won't say her name, well, I'll say her name,
259500	260820	because I can't think of a new one,
260820	263620	I said, is Erin home, no, and I'm her roommate,
263620	264960	and I said, oh, I'm right in the neighborhood,
264960	266860	she said, well, if you wanna come up and wait for her,
266860	269540	it was late in the afternoon, she should be home soon.
269540	272340	I go, okay, so I go up to her apartment,
272340	274780	and I meet the roommate, who was about 30 years old,
274780	277540	and very beautiful, and very exotic to me,
