start	end	text
0	14000	In 2008, I was one of those young people who became obsessed with Barack Obama.
14000	19760	I was a senior in college at the time, and after I graduated, I drove out to Ohio and
19760	21600	I worked on his campaign.
21600	27580	And after the campaign, I drove to Washington because hope and change.
27580	31140	And two years later, the White House actually hired me.
31140	33740	They hired me to write speeches.
33740	38180	And people would hear about my new job and they would say, wow, you must be really good.
38180	42500	And I'd say, I don't know, I hope so.
42500	47500	And they thought I was pretending to be humble, but I was entirely sincere.
47500	52700	It's not that I didn't think I had any talent whatsoever, it's just that I knew there are
52860	63860	300 million people in America, and some of them are babies, but a lot of them are adults.
63860	72060	And it just seemed unlikely that I was the best we the people could do.
72060	77060	So every day, I walked through the gates of the White House absolutely sure somebody had
77060	78900	made a mistake.
78900	82860	And while this was going on, my friends and family were equally sure they now had direct
82860	87580	access to the President of the United States.
87580	92040	Like I'm sitting in my White House office and I get a text from my sister, Rebecca,
92040	98060	and it says, how come the Department of Homeland Security doesn't have a mailing address?
98060	102540	Now even in the best of circumstances, this is a disturbing question to get from a family
102540	105880	member.
105880	108920	And if you work in the White House, you want to know the answer to this kind of stuff,
108920	110560	and I have no idea.
110560	112240	And it's like this with everything.
112240	119720	I mean, suddenly everyone has a law that only I can get through Congress.
119720	124280	Everybody has something wrong with Obamacare that I need to know about.
124280	126320	Mostly everybody has the same question.
126320	128960	They all want to know, have you met him yet?
128960	130880	Have you met Obama yet?
130880	134320	And I say, no, I haven't met him yet, and I get this look.
134320	137640	And it's a look I soon learned means you may be 24 years old and working at the White
137640	143360	House, but you're still a disappointment to your family and friends.
143360	144800	And I have to say, I totally get it.
144800	148440	I mean, everybody thinks that the White House is either like the TV show The West Wing where
148440	151800	everyone's hanging out with the President, or it's like the TV show Scandal where everyone's
151800	155100	having sex with the President.
155100	161560	But if you're looking for a Hollywood analogy, the White House is like the Death Star.
161560	165840	What I mean by that is just that there's thousands of people, they run around the hallways,
165840	169440	they're all just trying to make sure their little bit of their job works well.
169440	172280	And just because Darth Vader is the public face of the organization, it doesn't mean
172280	176560	that every stormtrooper gets personal one-on-one time.
176560	180080	So I try to explain this whole Death Star thing, and it doesn't work.
180080	182760	I still get that disappointed look.
182760	185920	And frankly, nobody's more disappointed than I am.
185920	190620	I mean, nobody wants me to meet the President more than me.
190620	191860	And there's two reasons for this.
191860	194780	The first is kind of corny, but it's true.
194780	199460	I moved to Washington because I thought, I don't know what it is, but there must be something
199460	201420	I can do for my country.
201420	206000	I want to be the kind of person where the President of the United States is just a little
206000	209860	bit better at his job because I'm in the room.
209860	214900	And the second reason is I would really like Barack Obama and I to become best friends.
215900	220940	Now, I'm not saying that every White House staffer imagined that they would become buddies
220940	221940	with the President.
221940	224980	I'm just saying that none of us ruled it out.
224980	226600	Like you would hear these stories.
226600	230460	Somebody got a fist bump in the hallway or someone else got invited up to play cards
230460	232340	on Air Force One.
232340	234120	And the moral was always the same.
234120	238380	Any moment could be the moment that changes your life forever.
238380	243500	Now my first chance at a life-changing moment came in November 2011 when I was asked to
243500	246380	write the Thanksgiving video address.
246380	250340	I will say up front, if State of the Union is all the way on one end of the presidential
250340	257520	speechwriting spectrum, Happy Thanksgiving America is kind of on the other side.
257520	262180	But as far as I was concerned, this was the most important set of words Barack Obama would
262180	263860	ever say.
263860	265540	And so I threw myself into this.
265540	269860	I mean, I wrote and I rewrote and I made edits and then I made edits to the edits.
269860	273540	And finally the day of the taping came and I went to the diplomatic room, which is one
273540	275520	of the most beautiful rooms in the White House.
275520	279740	It has this wraparound mural of 19th century American life.
279740	283500	And the advice I always got was you have to act like you've been there before.
283500	287300	So I'm standing there trying to act like I've been there before.
287300	290980	And the woman behind the camera takes one look at me and goes, this is your first time
290980	292580	here, isn't it?
292580	293580	And I crack immediately.
293580	295740	I'm just like, yes, I have never been here before.
295740	297260	Please help me.
297260	298360	And she says, don't worry.
298360	300120	She explains her name is Hope Hall.
300120	302080	She films the president all the time.
302080	303400	She's going to take care of everything.
