start	end	text
0	8120	Where I grew up in the South, there was a right way to do things and a wrong way to
8120	10400	do things.
10400	15440	And the right way was to do what your family and society thought you should do.
15440	19560	And the wrong way was to do something different.
19560	23000	By age 30, I'd done most everything I was supposed to do.
23000	25120	I'd overachieved in high school.
25120	27720	I attended a prestigious college in the South.
28200	32960	I had a good job, and I'd married well within the childbearing age.
32960	39880	We'd married at my insistence, of course, but neither one of us was fully on board.
39880	45320	So except for moving up north to Boston, which caused my family to collectively take to their
45320	50840	beds, I was on track with what we thought my life should look like, but I wasn't happy,
50840	53600	and I thought it was my career.
53600	56880	In my family, I was expected to go into business.
56920	60640	I'd been in public relations for seven years, but I didn't like the work anymore.
60640	65160	I mean, I was good at it, but I was tired of working with clients, and plus I was working
65160	72480	with companies like retail banking, traffic reporting, hazardous waste recycling, nothing
72480	75680	that really blew my skirt up.
75680	80560	So I quit my full-time job, and I started consulting, and I started taking classes to
80560	83200	figure out what else I could do for a living.
83200	88080	Now, the only criterion for the classes was that the instructors and students could not
88080	91480	know or care what the Financial Times was.
91480	95600	I took needlepoint, directing, French.
95600	99920	I found this brochure for the School of the Museum of Fine Arts in Boston, and I thought,
99920	102120	oh, well, this looks interesting.
102120	105760	And I went to the school, and I talked to the continuing education director, and I asked
105760	111960	him which class he thought I should take, and he said, you need to take art as process.
112000	116720	We take burnout executives in that class all the time.
116720	119040	I sign up.
119040	121200	It's my first day of art school.
121200	128080	I do my best to look artsy, to fit in, but even though I am not wearing pearls, they
128080	134160	are still emblazoned on my chest.
134160	140320	And our instructor, Rhoda, introduces herself, and she says, there is no right way to make
140320	144040	art, and there is no wrong way to make art.
144040	149160	Now this makes me extremely nervous, because I have been raised that there is a right way
149160	153200	and a wrong way to do most everything.
153200	158840	And then she says, the class will focus on process, the process of art making, not the
158840	160920	end result.
160920	165640	Now this makes me even more nervous, because I have been raised to focus on results, and
165640	169880	not just any results, but the best results.
169920	173040	And there are no grades.
173040	177040	Things careen out of control.
177040	181280	If there are no grades, how will I know if I'm overachieving?
181280	185840	I need to know that I'm overachieving.
185840	190720	We start with the basics, and in my entire life, I have never held a stick of charcoal
190720	193200	in my hand, and it feels good.
193200	197920	And I survive the first week of simple art exercises, and I enjoy myself.
197960	202640	And the next week, Bob, one of the three instructors, says, today we're going to do gesture drawings,
202640	208320	very fast drawings, about 45 second poses, and we're going to draw the energy and the
208320	211280	movement and the essence of the figure.
211280	216240	And I am thinking, what the heck is essence, and how the heck do you draw it?
216240	219960	And a man, the artist's model, starts to undress.
219960	225200	And I say, well that's okay, you've seen a naked man before, you've even had sex with
225200	227560	a naked man before.
227560	236400	Your problem is, you don't know how to draw this naked man's essence.
236400	241360	And everybody else apparently does know how to draw his essence, as they're all busily
241360	246400	getting out their easels and knowingly getting out sheets of paper and charcoal and other
246400	249360	drawing mediums with which they excel.
249360	254720	And I'm just standing there like the proverbial deer in headlights, and I begin to watch and
254720	260840	imitate because I am clueless but competitive.
260840	266080	And so I ask Judy, who is standing next to me and also a mature student, I say, Judy,
266080	267920	what are these supposed to look like?
267920	271960	Because of course I think there's only one right way to do this, and we're all going
271960	273880	to draw the same image.
273880	280640	And she looks at me bewildered and says, they're all going to look different.
280640	283120	I'm paralyzed.
283160	285480	What is mine supposed to look like?
285480	290560	Can't I just do a slide presentation for your board of directors, maybe conduct a communications
290560	294080	audit, assess your customer service capabilities?
294080	299640	These are things I know how to do, things in which I excel, and I like to excel, and
299640	304920	there is no way I'm going to excel drawing this naked man's essence.
304920	309480	And I'm about to cry, and then the competitive side of me kicks in and says, well just snap
309480	311760	out of it, you big wimp, and do something.
311760	316320	So I start making these hopeless stick figures every 45 seconds, because that's how fast
316320	321960	the poses are every 45 seconds, and every 45 seconds I feel like a total failure, which
321960	329000	is a lot of times in one hour, it's 80.
329000	334920	And the shame is enormous, and I'm mortified at how inept I am, and I'm beating myself
334920	340760	up for ever trying anything different, for even attempting anything new, and I'm in literal
340760	346040	physical pain, I am so far out of my comfort level, I mean I actually hurt.
346040	352360	And I'm about to cry again, and that's when Bob comes over and shows me what amazing teachers
352360	358080	can do, I don't even know what he says, all I know is he talks me off the ledge and breaks
358080	362640	the vice grip that has a hold of me, and I start to draw.
362640	367560	At the end of class, Bob picks one of my gesture drawings to put up on the wall with a bunch
367560	371080	of other student drawings so we can discuss them.
