start	end	text
0	9000	Felly rydw i'n ymwneud yn y botwm ffon ac rydw i'n rhoi £0.20 yn ymwneud ac rydw i'n ffon fy ffrind, ac mae'n cymryd.
9000	12000	Felly rydw i'n rhoi £0.50 yn ymwneud.
12000	15000	Ac roedden ni'n mynd i ddweud.
15000	19000	Rydw i'n teimlo'r ddau yn ôl i mi.
19000	22000	Rydw i'n mynd i ddweud.
22000	27000	Rydw i'n mynd i ddweud.
27000	35000	Rydw i'n teimlo'r ddau yn ôl i'r botwm ffon ac rydw i'n gweld ychwanegu'r ddau.
39000	43000	Yn ystod y tu allan, roeddwn i'n byw ar y fflat fy ffrind.
43000	47000	Roedd hi'n byw ar y camys Unedig yn y Cynulliad Cymru.
47000	51000	Roedd hi'n byw ar gyfer gwaith ac roedd hi wedi rhoi'r llwybr i'n fflat,
52000	56000	allwn i'n byw ar y camys Unedig,
56000	59000	unrhyw lle yn Hansworth Ward,
59000	64000	ond pan oeddwn i'n byw ar y fflat yn y Llyfrgell,
64000	69000	roeddwn i'n dechrau bod yn sianol i'n mynd i'n mynd i hefyd.
69000	73000	Roeddwn i'n byw ym mhob.
73000	76000	Roeddwn i'n byw ym mhob, roeddwn i'n byw yn y ddau,
76000	79000	ac roeddwn i'n byw ar fy mhob.
79000	82980	Oherwydd o'r hyn, roedd y ffordd yn fy holl ddweud,
82980	85920	dweud dweud dweud,
85920	88600	ond rwy'n gwybod i dweud.
88600	90920	Ac un o'r ffordd, roedd y ffordd dweud dweud,
90920	93600	dweud dweud dweud.
93600	94720	Now to tell you the truth,
94720	97920	I wasn't really sure what to make of this voice.
97920	99520	It made me quite anxious,
99520	101520	but I couldn't quite figure out what it meant
101520	103780	or what could possibly happen.
103780	107040	And I had to think about it for a while.
107040	108880	And eventually I decided,
108880	111640	no, I'm going to go home.
111640	114800	But to appease this voice in my head,
114800	118560	I decided to remove my jewellery, my watch,
118560	120280	leave my cards behind and my cash,
120280	123360	but just take enough money for my bus fare there
123360	125360	and to return the following morning
125360	127080	and enough also to phone my boyfriend
127080	129640	from the payphone on campus.
129640	131440	And so I set off.
131440	133640	And it was probably about, I don't know,
133640	136600	8.30 in the evening.
136600	138280	So I was studying in Birmingham
138280	141320	and their subways, particularly when I was there,
141320	144640	had a reputation for being quite seedy and unsafe.
144640	146040	And I had actually been flashed at
146040	148760	a number of times down there.
148760	150440	But on this particular occasion,
150440	152200	as I walked through the tunnel,
152200	155520	I noticed a female police officer ahead of me.
155520	159240	And I remember thinking this was a good omen.
159240	160560	I kind of broke my stride
160560	163440	so we were almost walking in tandem
163440	165200	without making it too obvious.
165200	166960	And then I exit the subway
166960	169240	and I get to my bus stop.
169240	172600	And usually, regardless of what the timetable says,
172600	175720	I always have to wait half an hour for my bus.
175720	177960	But on this particular evening,
177960	179600	it comes within minutes.
181000	182240	So when I get on the bus,
182240	183840	I actually sit near the bus driver
183840	186560	because I think this is the most sensible thing to do.
