start	end	text
0	4960	I grew up a huge fan of the New York Yankees, which when I was very small,
4960	8960	involved going to games maybe once a year with my father, my little brother,
8960	14280	watching Reggie Jackson, a little bit older, watching Dave Winfield.
14280	17320	And then when I kind of came into my teens,
17320	20920	Don Mattingly, who was, you know, my absolute favorite player.
20920	25680	And as I went to high school in New York and it was kind of a turning point.
25680	28440	The first time that I went to a Yankee game by myself and I started going to
28440	33000	Yankees by myself and it was in one of these games in the fall of 1991 that I
33000	37920	went up to the stadium and bought a ticket to the bleachers and went and sat
37920	42880	in the bleachers and was watching the game and noticed for the first time
42880	46960	something that I'd been to the stadium so many times before, but I'd never seen
46960	51560	this kid in right field wearing a Yankee uniform who was a bad boy playing catch
51560	53120	with the right fielder.
53120	54920	And I'd never noticed the bad boy before.
54920	57640	And this kid could not play catch for his life.
57640	61000	He was throwing the ball over Jesse Barfield's head, the right fielder.
61000	62200	And he was one hopping him.
62200	66360	And I was like, you know, I'm not a great athlete, but I can play catch at least
66360	67760	at least as well as this kid can.
67760	70240	And I don't understand why he has, you know, that job.
70240	71280	And I couldn't.
71280	75680	So I went home that night and I tore a page out of the program that listed all
75680	77440	the different Yankee executives.
77440	81080	And I wrote a handwritten letter to everyone from Steinbrenner on down to
81080	84240	Stunt Merrill, who was the manager at that point, and basically said, you know,
84240	88040	My name is Matt and I'm 16 years old and I'm a huge fan of the Yankees.
88040	91760	And, you know, I don't know if you can apply for this bad boy position, but if
91760	93440	you can, I really would like an application.
93440	96160	And I'm so excited to hear from you that if I don't hear from you soon, I'm
96160	97760	going to follow up with with a phone call.
97760	101960	So I sent these off and about two weeks went by.
101960	104360	And after, you know, two weeks, I hadn't heard anything.
104360	108360	And so I picked up the phone and this Yankee switchboard number was on the
108360	109880	same list of executives.
109880	111400	And secretary asked for the phone.
111400	112280	Hello, New York Yankees.
112280	113920	And I said, hi, this is Matt McGoff.
113920	117600	And I sent a letter in a couple of weeks ago about applying for a bad boy
117600	119760	position and nobody got back to me.
120560	124480	So she is like, okay, well, I'll take your name down and I'll have somebody
124480	126560	get back to you and took my number down.
126560	128640	And another week goes by and I don't hear anything.
128640	132800	So I pick up the phone again and I call on this woman answers the phone.
132800	133800	Hello, New York Yankees.
133800	135440	And I say, hi, this is Matt.
135440	140040	You know, I sent some letters in about the bad boy position and I called last
140040	142880	week and somebody was supposed to call me back, but, you know, I thought it
142880	145360	was kind of rude that they hadn't.
146520	149280	And so she, you know, she laughed and she asked me, how old were you?
149280	150440	And I said, 16.
150440	153040	She laughed some more and I didn't really understand what she was laughing at.
153040	155640	But, you know, she took down my name again.
155640	158280	She said, you know, I'll, I'll make sure that somebody gets back to you.
158280	162680	So, you know, a few days later, sure enough in the mail, a letter arrived on,
162720	166520	on Yankee letterhead, official letterhead and invited me to come up to the
166520	169520	stadium for an interview with Nick Priory, who's the clubhouse manager.
170160	174200	So I put my jacket and tie on and I don't even think I told any of my friends
174200	178920	about this because it was way, way too weird to explain.
178920	183560	So I went up, took the four train up to the stadium and walked into the, you
183560	187400	know, walked around the stadium and this is October, so they weren't playing in
187400	189720	the world series in October back in 91.
189720	191360	So it was very, very quiet.
191360	195720	And I walked around the stadium and walked into the Yankee lobby and there's
195720	199320	a security guard there and I introduced myself and I say, I'm here for the
199320	203880	batboy interview and he picks up the telephone and he's like, you know, Nick,
203880	208320	some kids here to see you and, you know, okay, so he says, you know, have a seat.
208320	212560	So I sit down in the pinstripe lobby and I'm, you know, passing about 10 minutes
212560	216080	waiting for this guy, Nick, to come up for the first job interview of my life,
216080	217200	for the first job of my life.
217200	220400	And I'm, you know, trying to think of the questions that he might ask me.
220400	224400	And so I'm ready to tell him what my favorite subject is in school and tell
224400	228160	him, you know, why I think the Yankees need a big bat behind Mattingly, you
228200	232000	know, to win the pennant next year and what, you know, Mickey Mantle's batting
232000	235880	average was in 1956 and like all these different questions.
235880	239480	So, you know, I'm kind of passing the time and these double doors burst open and
239480	243480	this guy walks in, obviously, Nick, but he doesn't introduce himself.
243480	248240	He's, you know, could be anywhere from 40 to 80 years of age.
248240	253400	He has this greased back hair and he has a stogie between the two teeth left in
253400	258280	his mouth and a chaw of tobacco possibly also and this wife beater t-shirt and
