start	end	text
0	5700	grew up in a really small town in Alabama and my sister was and is to this day a
5700	11940	remarkably beautiful woman and I was always really good in school so it fell
11940	15140	into this pattern with my family where people would say things like she's the
15140	20580	beauty you're the brain and among my almost anorexically petite friends
20580	24820	growing up at five foot five a hundred and forty pounds it was universally
24820	29020	acknowledged that I was a fat one the whole thing really started in first
29020	33640	grade I have to say there was a weigh-in in school my best friend Ann Coley who
33640	36420	was going to go on to become the head cheerleader of our high school hopped on
36420	41460	the scale and weighed 45 pounds but when I jumped on the needle cropped it creeped
41460	46460	up to 50 and I looked over and I could see Nan looking at me in horror not just
46460	50140	for me but for herself and she suggested right then and there that go on a diet
50140	57220	and so I did for the next 20 years I would never wear a bathing suit without
57220	61020	putting a t-shirt over it first I would never change at a sleepover party
61020	64260	without getting in the sleeping bag I would never let a lover see me naked
64260	69020	with the lights on and not once did I ever stand in front of my closet to pick
69020	73340	out an outfit with any other intention other than to look as thin as possible
73340	78100	now along the way well-meaning people tried to help but just made things worse
78100	85380	such as my stepmother the Baywatch extra who decided when I was 11 yeah 11 years
85540	88940	old she said to give me a makeover but the result was something like if you put
88940	94100	blue eyeshadow and frosty pink lipstick on a cabbage patch kid it wasn't good
94100	99580	but somehow I managed to get through high school and college and at age 26 I
99580	106260	packed up my baggage and moved to Southern California where surprisingly I
106260	111980	actually got better there was something about like all the just extreme views
112020	116300	people had about their body all the fake everything and the bleach blonde hair
116300	121340	that made me kind of give up I think I kind of I think I kind of threw in the
121340	125460	towel and so I joined a gym down the street because it was cheap and I
125460	127940	discovered that lifting weights could be actually fun because you would get
127940	133220	strong and then with my newfound muscle tone I put on shorts for the first time
133220	136780	ever and went for a hike which led to a run and then when food was no longer the
136780	140940	enemy I started cooking healthy food and after six months I actually lost 20
140940	144420	pounds and one day I was getting dressed to go out and I actually glanced in the
144420	148740	mirror which of course I usually avoided and I realized I almost didn't recognize
148740	152820	myself and I examined myself from head to toe standing there in my bra and
152820	157500	panties and discovered that actually couldn't lose any more weight and I
157500	162220	actually looked pretty darn good now around the same time my boyfriend was
162220	165620	back in Boston and he had decided to produce an independent film and he was
165620	168860	begging me to come back east and produce the film for him but in order to do that
168900	172460	I calculated that I was gonna have to raise $2,000 over the next four months
172460	177900	somehow extra which my $11 an hour temp job really wasn't gonna produce so I
177900	181540	went out and got a copy of the LA Times and as I was perusing the ads for like
181540	185700	you know Chuck E. Cheese night manager and you know evening legal secretary
185700	193420	work I saw an ad that said dancers wanted earn up to $500 a night now you
193420	197380	have to understand I cannot dance I'm somewhat famous I'm my friends for
197380	200140	having tripped over my own feet when I was in college in Boston and actually
200140	205420	knocked myself unconscious on the sidewalk it's true so I ignored it and
205420	210180	went to the other ads but I kept coming back to it like $500 a night so I threw
210180	214180	you on the newspaper and I ran to my room and examined my butt carefully in
214180	218180	the mirror like could it be that my butt was good enough and I picked up the phone
218180	221940	and made an appointment with a woman named Samantha now my best friend Steve
221940	226020	was very against this he said Catherine your newfound self-esteem has been too
226020	230380	long coming and too hard one for you to risk it all because some bitch down at
230380	233220	the strip club doesn't think you're good enough and I knew he was right but I
233220	239820	somehow couldn't stop I just had to see so the next day I put on my sluttiest
239820	244700	outfit and made my hair huge and put on like all the makeup I owned and I went
