start	end	text
0	1840	Under the Influence is our topic tonight.
1840	3920	And I thought of a lot of different things.
3920	10480	And the one I kind of wanted to talk about was my secret influence.
10480	15140	There are people in our lives that are incredibly important to us.
15140	19660	And I would even mention to say some of the most important people, everybody aside
19660	23780	from my mother in my life, doesn't know anything about this person who I think
23780	26500	about every day, and his name was Michael Marquis.
26540	30580	And so if this were a violin piece, it would be called Ode to Michael Marquis.
30960	33540	I met him when I was seven years old.
34480	40580	And I was growing up, my mother had left my father when I was about two or three.
41060	47020	And this was the first man that my mother had brought home, like for me to meet.
47500	50400	And he was a Vietnam vet.
50960	53200	He was a professional athlete.
53400	56860	He had played college football, college baseball.
56860	60440	He was a ski instructor and a golf instructor.
60920	66300	He had like a big beard, and he drank scotch, and he had a German shepherd, and he had a lab,
66720	68920	and he had this unbelievable MG.
69140	73940	And not like those little like wussy MG's that you see, like it was like a 1933 MG.
73940	75000	It was like a motorcycle.
75100	77000	I mean, this thing was so cool.
77000	80660	And the doors like went super low, you know.
80660	82280	I mean, it was just so cool.
82540	83760	And he was so cool.
84200	91620	And he was the first person to really tap into, he may have tapped into it,
91620	94840	he may have created it, I'm not sure, but a mama's boy complex.
96560	102220	Which was that I had, I hadn't been, my father lived in Texas,
102220	105580	and I hadn't been to Texas since I was about three, but I was obsessed.
105580	107180	I had a Dallas Cowboys belt buckle.
107400	112320	I would wear like, you know, flower t-shirts, you know,
112320	114520	like Grand Parsons or something like that.
114520	116480	I mean, this is about 1977.
116480	117480	I was very into that.
117480	119840	I only listened to Willie Nelson's The Red-Headed Stranger.
120260	124860	My room was covered with cowboys and broncos and Indians,
124860	128120	and like anything Texas was up my alley.
128120	131900	And he met me, and he's like, why, what's all the Texas stuff, you know?
131900	134280	He's like, well, you know, my dad lives in Texas.
134900	136540	Well, he ain't here, is he?
136540	138280	I'm like, no.
138280	141580	He's like, well, I think I'd get over the Texas thing if I were you.
141580	144440	I'd be like, you know, that really hurt my feelings.
144440	149400	And he proceeded to like latch into this thing, like, so what, are you mama's boy?
149740	150620	Cowboys lost today.
150920	151980	Did your dad call?
152580	153360	No, right?
153360	156160	I mean, he's a very tough guy, very tough guy.
157160	164660	And through a little bit of what my mother felt was kind of abusive behavior,
165660	170000	I grew to love him, right?
170000	172100	I mean, I hated him, but I loved him.
172100	175400	I thought about him all the time and what he would think about something.
175400	181580	And like, for example, he decided that since I was so into football,
181940	184340	but you don't know how to play football, you know?
184620	187140	What, did your dad teach you to play football?
187280	188560	No, I don't think he did, did he?
188560	190360	All right, come on, let's play football.
190600	192140	No, I'm not looking for the pity thing.
192140	193120	It was really pretty funny.
193120	194520	I mean, he was a funny guy.
194520	197260	He was trying to help me in his own weird way.
197260	203620	So he takes me outside, he takes me outside, and he says, all right,
203620	206060	I'm going to teach you how to play football, all right?
206160	209840	But football is a man's game, it's not a mama's boy's game, all right?
210600	214220	You make a diamond with your hands, your thumb to your four fingers,
214820	217320	and if you can touch it, you can catch it, all right?
217320	218080	So I'm like, all right.
219080	225740	Bam! You know, and I was, and he's like, you still with me?
225740	226740	You still want to play football?
226740	229420	Huh? I'm like, yeah, I want to play football.
229420	232180	He's like, all right, if you can touch it, you can catch it, all right?
233060	235140	Bam! You know, and it just went on.
235200	243180	I mean, and it was freezing outside, and my nose is bleeding, and I'm crying,
243180	248600	and I want to go inside, and he's like, you know, you've got to catch this football, right?
248600	250640	And so finally, I catch it, like, three times.
250640	253060	He's like, all right, see, you're not such a little mama's boy, after all,
253380	254700	and I feel kind of good about myself.
254900	257600	I mean, you know, I don't want to have me go figure, you know?
257980	264880	So my mom really liked him, and we moved to Vermont, and he took us,
264880	269780	and he moved us into this one bedroom, one, not, it was just a one room cabin in Vermont,
269780	277220	whereas he had this gig as a ski instructor, and it was really picturesque,
277220	281980	and he really had it in his heart, like, to teach me how to be a man, you know?
281980	287700	And we would, he taught me how to chop wood, and he bought me a jeans jacket,
287700	292820	and he would have my mom do, like, patches on the back, you know, and it was really very cool,
292820	294040	and I started to feel very cool.
294040	303040	He took me to see The Man Who Would Be King, and, you know, I cried at the end,
303040	306640	which is, this is a digression, I'm going to regret doing this, but it's my favorite line,
306640	310000	since I have an audience, I have to tell you, it's like, Sean Connery is standing
310000	314840	on the burning bridge, and Michael Caine shouts, he's, the bridge is burning, he's going to die,
314840	320360	and Michael Caine scouts out, you know, peachy, will you ever forgive me for being so bleeding,
320360	327360	so stupid, and so bloody arrogant, and Sean Connery says, you know, that I can, and that I do, you know?
327360	331360	And, like, Michael and I sat there, and I just cried, and he was just like,
331360	334360	pull yourself together, man, you know?
334360	340360	We got in the car, a guy's a little M.G., and it's, like, freezing, and I'm crying, and he's like, come on!
340360	348360	It was a good movie, it was sad, but it was, you know, you gotta, you know, I loved it, too, I loved it, too.
348360	352360	But from then on, in my mind, like, Michael and I were, you know,
352360	356360	Michael Caine and Sean Connery on adventures and things, and we had them, you know?
356360	360360	I mean, I had to walk, I mean, it's really kind of picturesque, I had to walk, like, two miles to school,
360360	366360	and I was only in second grade, and it was very fun, he insisted that I do it, you know, by myself,
366360	371360	and my mother had a lot of problems with him, like, the, the, like, when my mother would go,
371360	374360	she had to go to town a couple times, and he would take me on dates with other women,
374360	378360	and, like, if you tell your mother, I'm gonna kick your ass, and I thought it was great.
378360	383360	I mean, again, like, you keep being judgmental, and I was like, I was like, this guy is so cool.
383360	388360	And I remember I, like, rolled joints for him for this other girl.
388360	395360	I don't know, I have this vague memory of it, but, and finally, like, my most pivotal memory of him,
395360	401360	aside from the closing of my story, is, is we had, you know, this little one-room cabin,
401360	406360	I mean, it was really, really idyllic, snow, and Vermont, and all this other stuff,
406360	410360	and, and Michael, we're out on this little deck outside of it, and Michael's like,
410360	415360	see that, look at that buck, look at that buck, look at that, get the shotgun, Ethan, get the shotgun,
415360	421360	you know, and I'm like, I'm like, what for? He's like, we're gonna kill it, you know,
421360	427360	and I'm like, I'm like, I'm like, Mom, Michael's gonna kill a buck, Michael's gonna kill a buck!
427360	434360	And Michael goes, you, I was gonna let you shoot it.
434360	437360	You blew it, you know, and I didn't know how I felt, because I didn't want to shoot it,
437360	442360	but now I felt like I should have wanted to shoot it, and like, I don't know, I felt very strange.
442360	447360	Doesn't exactly make sense, but you can understand the subconscious, very influenced.
