start	end	text
0	5000	People often ask me how I got the scar on my arm.
7000	13000	And what happened was, when I was 14 years old,
13000	21000	I got really sick and no one could figure out what was wrong with me.
21000	26000	I was very ill and finally, after a week of not getting better,
26000	33000	my mother took me to the hospital and I, after many tests,
33000	40000	was finally, days and days later, diagnosed with a hyper allergy,
40000	43000	something called Stevens-Johnson syndrome.
43000	47000	And once they finally found out what was wrong with me,
47000	54000	they treated me for it, but not before I had spent weeks in the hospital,
54000	60000	weeks blind and mute, as well as being fed by tubes
60000	67000	and having to sleep sitting up so that I wouldn't choke on my own saliva.
68000	76000	My mother, in her fashion, moved in to the hospital to be by my bedside
76000	82000	and slept every night in the hospital to take care of me
82000	85000	and she wouldn't leave my side.
85000	90000	And finally, when I was released on February 1st,
90000	97000	I remember it was a Friday, as we were riding home in our car,
97000	106000	she said, I've made a promise to God that if God delivers you safely
106000	110000	out of the hospital that I would go and I would do a penance
110000	115000	and I would go to the temple and make an offering to give thanks
115000	119000	for delivering my child home safely.
119000	124000	So I know you're really sick, but I'm going to see if your stepdad
124000	129000	can drive us on Sunday to the temple.
130000	134000	And I just sort of nodded in my very ill way and I said okay.
134000	140000	And on that Sunday, February 3rd, my stepfather and my mother and I
140000	148000	drove in our red Ford Mercury car with the black interior
148000	151000	to the Hindu temple and I was very ill.
151000	155000	I was very, very weak and frail.
155000	161000	And that was long enough ago, I was 14, a long time ago,
161000	166000	when they still had the front seat that was a couch seat.
166000	171000	So my mother wedged me in between her and my stepdad
171000	174000	because she wanted to take care of me.
174000	176000	I was still really sick.
176000	178000	I could barely hold my head up.
178000	181000	I had lost a lot of weight.
181000	185000	I was so weak that she said, you stay in the car, I'll do the offering.
185000	188000	She went, she did the prayers, she did the flowers, she rang the bell,
188000	191000	she got the food and they came back in the car
191000	196000	and she handed me this squeaky round styrofoam plate
196000	201000	with a bunch of yellow rice on it and some vegetable curry or whatever it was.
201000	205000	And off we went back down the highway
205000	209000	and I remember thinking what a beautiful sunny Sunday it was.
209000	213000	And I was trying desperately to concentrate on this plate of food
213000	217000	and my mother said, you know, just try and have a couple bites of it.
217000	221000	Just, you know, it's blessed, it's from the puja we did.
221000	230000	And as I was eating this rice, suddenly I heard a loud bang!
230000	235000	And I looked up and I can remember the plate flying
235000	241000	and yellow rice everywhere like confetti.
241000	245000	And as the rice came down, all I could see
245000	252000	was this beautiful blue sky, this crystal clear blue sky.
252000	259000	No clouds, no cars, no road in front of us,
259000	266000	no trees, nothing, just endless miraculous blue sky
266000	269000	and these kind of yellow grains flying all around.
270000	274000	Then all of a sudden I heard another thud
274000	277000	and then I kind of heard...
277000	284000	And it was us, we were flying and then we were airborne, I realized.
284000	288000	And then what stopped our fall was this tree
288000	292000	and then we kind of went down further down this embankment
292000	299000	and then finally came to a last thud
299000	302000	and there was just stillness.
304000	312000	I kind of strained my neck and I could see my mother to my right
312000	315000	and we were all pinned very closely together
315000	320000	and my mother had her eyes closed and her mouth open
320000	325000	and blood was trickling out of the side of her mouth.
325000	332000	And to my left, my stepfather was saying over and over again
332000	337000	this mantra of, where are we Vijay?
337000	341000	What happened Vijay? Weren't we driving Vijay?
341000	349000	We were at the temple Vijay, Vijay, Vijay, my mother.
349000	356000	And from my mother emanated this profound and nauseating silence.
356000	361000	And I started to scream at my mother.
361000	364000	I started to say, Mom, are you awake? Are you awake?
364000	367000	If you're awake, say something, say something, please.
367000	370000	If you're not awake, I love you, Mommy, I love you.
370000	374000	If you are awake, I love you, but please say something.
374000	377000	And in the back of me screaming was this chorus,
377000	381000	this non-stop loop of my stepfather,
381000	387000	almost like that cliche image or track that the cartoons
387000	391000	when a bird or a cartoon character is hit on the head
391000	393000	and they say, where am I? What's going on?
393000	395000	That was exactly what he was doing.
395000	397000	And he just kept repeating this.
397000	400000	And it was all of a sudden I started feeling things.
400000	405000	I started feeling hot and cold and wet and sticky and itchy
405000	412000	and burning and all I could feel from my mother
412000	416000	was this silence emanating from her
416000	423000	that kept getting louder and louder, this silence.
423000	427000	Then I finally heard a man call down to us and say,
427000	429000	are you okay? Are you okay?
429000	431000	I said, yes, we're alive, we're alive.
431000	433000	Please get help. Please, please get help.
433000	435000	And then a bunch of firemen came.
435000	438000	And I remember hearing the crunch of their boots
438000	443000	down the leaves, on the leaves, down the embankment.
443000	449000	And they came and they kind of got, I heard chainsaws.
449000	453000	I heard a helicopter in the distance approaching.
453000	455000	I heard blow torches.
455000	459000	I would later learn that they had to use these famous things
459000	462000	called the jaws of life to cut open the roof
462000	466000	of this red Ford Mercury Zephyr.
466000	471000	And so I got taken to the City of Angels
471000	477000	and my parents got taken somewhere else.
477000	480000	My arm, because we were pinned so tight,
480000	485000	my arm had flown across my mother's chest.
485000	490000	And so my arm was just shattered in many pieces.
490000	493000	And I lay there for hours and hours,
493000	497000	not knowing what happened to my parents,
497000	503000	not knowing if my parents were okay, if my mother was alive.
503000	506000	And I remember being incredibly uncomfortable
506000	512000	in a cold hospital bed with glass everywhere,
512000	516000	in every crevice of my body, under my nails, in my hair,
516000	519000	in my ears, just shattered glass everywhere.
519000	522000	And I remember, you know, in the emergency room,
522000	525000	I remember vague bits and pieces of what people said,
525000	529000	like, you know, well, I don't think it's worth doing,
529000	533000	but, you know, I questioned the mobility of that arm
533000	535000	or, well, let's leave it alone.
535000	538000	And we were home. It took us a long time to heal.
538000	541000	My stepfather broke his leg,
541000	544000	his left leg in four places, his hip in two.
544000	547000	My mother had to come home
547000	552000	and still have a hospital bed at home for weeks and months.
552000	554000	And we had one-to-one nursing,
554000	556000	24 hours around the clock at home,
556000	560000	because, of course, my mother this time could not care for me,
560000	562000	could not be by my side.
562000	564000	Indeed, she had her own hospital bed.
564000	566000	But my mother was determined.
566000	570000	They said that they weren't going to do any surgery on my arm
570000	573000	because they thought it wasn't really worth it,
573000	575000	that it would probably be dormant,
575000	578000	be kind of semi-lame at my side.
578000	580000	And, you know, I was so young,
580000	583000	I could learn to do everything with my left hand.
