start	end	text
0	3700	My mom was a really amazing person.
3700	6700	She was the type of person that could take any mundane life event
6700	10100	and turn it into a party in about 10 minutes flat.
10100	14100	She was really, really into holidays,
14100	17400	and she could take our normal suburban Pittsburgh house
17400	20800	and turn it into all these magical worlds.
20800	24200	And not just for holidays that, like, everybody decorates for.
24200	27900	We had a special set of flags that were just for Memorial Day,
28000	32000	that were different than the flags that we used on the 4th of July.
32000	34500	Christmas was a really big deal.
34500	40200	We had a tree in every room, and every tree had a theme.
40200	42300	She liked themes.
42300	45200	I never had a birthday party that didn't have one.
45200	48100	There was the Victorian Tea Party,
48100	51500	and the fitness birthday party.
51500	54600	I'm an only child, what can I say?
54600	59200	I think she just really wanted everything to be special.
59200	60700	But growing up like this,
60700	65600	that also meant that our house had a lot of stuff in it.
65600	69200	If we're being honest, she was a pack rat verging onto a hoarder.
69200	70600	She had all the tendencies.
70600	73200	If she saw something she liked, she bought three of them.
73200	76300	She had all of these materials for projects that she never even started,
76300	77800	let alone finished.
77800	82900	She saved everything, like normal stuff that parents save, like schoolwork,
82900	87000	but then like old bits of wrapping paper and ribbons.
87000	90600	She never threw away a piece of clothes.
90600	96300	She had two closets and two armoires just full of her clothing.
96300	97600	And that was kind of her MO.
97600	99200	Like if you walked into our house,
99200	102500	you would never know that she had all of this stuff,
102500	106900	because it was all tucked away into closets and drawers, nooks, crannies.
106900	110800	The attic was so full that we weren't even allowed to go in it,
110800	113900	and it was all Christmas decorations.
113900	117700	So I, as much as I loved this celebration,
117700	120500	like I could just never wrap my brain around the amount of stuff.
120500	121900	Like even as a child,
121900	125900	I just didn't understand the point of having things that we only used once a year,
125900	128500	or that she would just buy and forget about.
128500	132300	So now I'm someone who compulsively cleans.
132300	135700	When I open my own closet and I see something that I haven't, you know,
135700	137700	looked at or thought about for a couple months,
137700	139600	it like immediately goes to goodwill.
139600	143100	I'm not super sentimental with things.
143100	146400	You know, my husband might get me a card and write a little note in it,
146400	152000	and I'll put it out and then find a way to like quietly get rid of it.
152000	156600	So growing up in this house,
156600	160300	I just, you know, I never could understand all the stuff.
