start	end	text
0	9240	It was five days before my ten-year high school reunion when my husband told me he thought
9240	12000	he might be gay.
12000	16480	He wasn't sure he was gay because he had never been with a man yet, but he thought it was
16480	18640	something he ought to figure out.
18640	20800	Good idea.
20800	25080	Now I think he told me this at that moment, not to get out of my high school reunion,
25080	29480	which would be understandable, but in order to, because we had been looking for houses
29480	32840	together and we'd finally found one in Pasadena that we both liked.
32840	37080	And I think somehow the forever of a wedding vow sounded kind of vague and idealistic to
37080	40480	him where his 30-year mortgage was surprisingly specific.
40480	45520	It was a commitment, you know, the kind of commitment you shouldn't make while your sexuality
45520	48520	is pending.
48520	55840	Now, as he was explaining this to me, I was thinking downstairs, our neighbors, we lived
55840	59480	in this duplex apartment we were renting, the Kaufmans were probably just sitting down
59480	63600	to dinner as they'd done for 52 years and talking about their brisket, and they were
63600	68120	this couple that used to come up and see our new furniture, like when we bought a new antique
68120	79120	table because Sam liked antique shopping, pink flag, and so they were like parent figures
79120	80120	to us.
80120	84240	And, you know, there were signs, like when I first met Sam, he had this leather jacket
84240	89120	with tiger print lining, and I remember thinking it seemed kind of, the lining, I don't know
89760	90760	it stuck with me.
90760	96080	And then, you know, but then he asked me out, and we slept together, and he asked me to
96080	103600	marry him, and I put on the big white dress, which he helped me pick out in front, seriously,
103600	108480	in front of, you know, 200 of my closest friends, and I figured he's not.
108480	113000	And also, I actually, I guess there was one thing I ignored, which I probably should have
113000	114000	paid attention to.
114000	118400	He told me before we were, while we were engaged, he told me he sometimes noticed men, but he
118400	121920	said he couldn't imagine sleeping with a man, and, you know, he just noticed them.
121920	125560	And I guess I knew this was not good because I didn't talk to any girlfriends about this,
125560	127840	and I talk to girlfriends about everything.
127840	129400	So if I didn't, it was probably bad.
129400	132480	But I did, at one point, I did talk to one girlfriend, we were in line at Disneyland
132480	136120	for Space Mountain, and I told her how Sam had said he sometimes noticed men, and do
136120	137120	you think that's bad?
137120	141040	And she said, you know, she told me this theory of the spectrum of sexuality, and everyone
141040	145000	lies somewhere along it, and some people notice people, but they would never act on it.
145600	149680	Four years later, she realized she was a lesbian.
149680	153360	My one person I confess to.
153360	159080	So as I was recalling all these signs, I realized Sam was still talking, and he was telling
159080	162720	me he felt so much better getting this off his chest, and he'd been wanting to tell me
162720	168760	for a long time, and he felt so relieved, he kind of wanted to have sex.
168760	170520	And I said, with who?
171040	173040	And he said, with you.
173040	178560	And I think he meant it as a compliment, but I have to go to bed and wake up when the bookstores
178560	179560	are open.
179560	187800	So the next day, I went directly to the self-help section, where all problems could be solved,
187800	192080	and there was no book for someone whose husband thought he might be gay.
192080	195840	There was a book called Loving Someone Gay, but it turned out to be for teachers and family
195840	199400	members, but nothing.
199400	203760	And I was nervous because this is LA, and I didn't want to pioneer a problem.
203760	208320	This is a very bad sign.
208320	213680	And as I'm looking for a book, any book, I remember I saw one called How to Survive Alien
213680	217920	Abduction, and it wasn't a humor book, it was a serious book with things like block
217920	221680	their mind control and get help from on high.
221680	225440	And so basically, according to the laws of supply and demand, you're more likely to be
225440	228960	abducted by an alien than to have your husband realize he's gay.
228960	231120	That's what that said to me.
231120	238320	And so I left the self-help section despondent and decided that it was time to go to therapy.
238320	241000	Four days now from my high school reunion.
241000	242000	So I went for the first time.
242000	243000	I had never gone to therapy.
243000	246240	I grew up in Oklahoma, which is where my reunion was going to be.
246240	250760	And I went, there was this thing called the Gold Group, because I was in the Writers Guild.
250760	254040	Basically when I became a comedy writer, I decided my husband no longer wanted to be
254080	255080	a straight man.
255080	256080	That was basically what happened there.
256080	258680	And so I was in the Writers Guild.
258680	263840	And they paid for this thing called the Gold Group, and it was a group of therapists in
263840	264840	the valley.
264840	266680	And it was only a $10 copay.
266680	272000	And it's possible you shouldn't skimp on therapy, but I thought I was going to be in for a while.
272000	277660	So I went to the Gold Group, and I remember when I got in there, you basically get what
277660	283100	you copay for because I was in this office waiting for my therapist, and I could hear
283180	284180	the session next to me.
284180	288820	It was this paper-thin wall, and I could hear a man sobbing, and I was like, they're going
288820	290280	to hear me sobbing.
290280	293620	And then when my therapist came in, she turned on this little oscillating fan, which I think
293620	300060	is the system the Gold Group had come up with to deal with the soundproofing problem.
300060	304220	And my therapist, and I didn't have anything to compare against, but I just remember noting
